Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Paul Puopolo,Hawthorn,33,33.07,Gen. Forward,6,8.2,57.5,40.167,1,0.167,1,0,72.5,4.5,4.5,9,66.667,55.556,77.778,50,1.333,0.167,101.667,11.296,1,9,1.667,5.4,5,3.667,8.667,57.692,2,4.167,1.5,0.333,0.333,0.667,1.167,0.167,0.333,0,0.167,1,0.333,0.667,0,0,0,,0,,2.5,1,0,,1.333,25,4,0.667,0.167,1.167,0,57.143,4,26.374,1,0,0.5,17.333,4.833,0.167
Ben McEvoy,Hawthorn,31,31.47,Ruck,16,10.019,84.875,50.188,12,0.75,3,0,82.312,4.375,4.5,8.875,82.394,80,84.722,49.296,0.562,0.438,59.5,6.704,1.188,7.474,0.812,10.923,5.062,4.312,9.375,54,3.938,2.625,0.25,0.375,0.438,0.812,3.188,1.25,0.188,1.625,0.062,0.625,0.5,0.125,21.625,31.256,10.062,46.532,4.125,40.994,1.938,0.062,1.375,36.364,0.5,12.5,4,0.25,0.062,0.312,0.188,80,2.25,14.516,1.562,0,5,9.438,6,3.812
Ben Stratton,Hawthorn,31,31.83,Gen. Defender,14,3.543,39.643,33.786,3,0.214,1,0,91.571,4.714,3.929,8.643,71.074,57.576,87.273,54.545,0.429,1.143,91.286,10.562,2.429,3.559,1.5,5.762,3,5.714,8.714,34.426,3.929,1.571,0,0,0,0,2.929,0.5,0.071,1.286,0.071,0.5,0.929,-0.429,0,0,0,,0,,1.214,0,1.857,38.462,0,,1,0.071,0,0.071,0,100,1.429,9.217,0.643,0,3.429,5.5,4.786,2.714
Tom Scully,Hawthorn,29,29.63,Mid-Forward,14,5.593,54.071,46.429,0,0,0,0,87.786,7.429,6.143,13.571,58.947,45.192,75.581,54.737,2.429,0.786,246.143,18.137,2.786,4.872,3.5,3.878,3.929,10,13.929,28.205,1.857,3.429,0.929,0.143,0.429,0.571,2.429,0.071,0.357,0,0.071,0.286,0.714,-0.429,0,0,0,,0,,1.143,0.143,0.071,0,0.643,22.222,4,0.286,0.143,0.643,0.786,44.444,3.571,22.523,0.5,0,0.929,14.643,6.857,0.357
Ricky Henderson,Hawthorn,32,32.3,Midfielder,7,6.329,70.571,59.714,0,0,0,0,77.143,7.857,7,14.857,75,70.909,79.592,52.885,1.571,1.571,203.143,13.673,1.429,10.4,3,4.952,3.714,10.714,14.429,25.743,2.286,3.143,0.429,0.286,1,1.286,5.286,0,0.143,0.429,0.143,0.429,0.143,0.286,0,0,0,,0,,1.571,0.286,0.286,100,0.143,0,0,0,0,0.143,0,0,2,13.333,0.429,0.143,1.571,12.571,5.571,0.857
Jonathon Ceglar,Hawthorn,29,29.87,Ruck,13,8.038,72.231,60.077,6,0.462,1,2,73.846,4.231,6.308,10.538,70.803,52.727,82.927,40.146,0.923,1.077,89.077,8.453,2.538,4.152,2.385,4.419,6.462,4.308,10.769,60,1.462,2.692,0.231,0.769,2.231,3,2.231,1.077,0.231,0.538,0,1.077,1.462,-0.385,42.846,62.374,21.077,49.192,4.846,22.993,2.462,0.154,0.308,25,0.615,0,1,0.077,0,0.231,0.231,33.333,2.615,16.114,1.615,0,1.846,9.077,4.462,1.692
Jonathon Patton,Hawthorn,27,27.61,Key Forward,6,2.567,35.333,22.667,0,0,0,0,62.333,3,1.833,4.833,86.207,83.333,90.909,62.069,0.667,0.167,59.667,12.345,1.333,3.625,1.167,4.143,2.667,2.5,5.167,51.613,0.667,1.167,0.5,0,0.167,0.167,1.833,0.333,0.5,0.333,0,0.667,1,-0.333,4.833,7.143,0.833,17.241,0,0,0.667,0,0,,2.667,6.25,3,0.5,0.333,0.833,0.333,60,2,12.766,0.333,0,1.333,4.833,1.5,0.667
Tom Mitchell,Hawthorn,27,27.58,Midfielder,17,10.988,113.529,86.176,23,1.353,6,10,88.294,10.118,15.118,25.235,75.524,62.209,84.436,40.093,2.765,1.647,291.412,11.548,2.706,9.326,3.824,6.6,10.294,15,25.294,40.698,2.412,7.588,1.353,1.471,2.824,4.294,3.059,0.059,0.059,0.235,0,1.176,1.059,0.118,0,0,0,,0,,4.412,0.471,0.059,0,0.059,100,2,0.118,0.059,0.294,0.176,40,3.647,23.048,0.882,0.176,0.765,20.647,11.059,0.235
Isaac Smith,Hawthorn,32,32,Mid-Forward,10,7.76,74,64.8,9,0.9,2,3,82.2,10,7.3,17.3,65.896,51,86.301,57.803,3.2,1.9,337.6,19.514,3,5.767,4.5,3.844,4.5,12.5,17,26.471,3.1,3.7,0.6,0.1,0.9,1,3.5,0.1,0.3,0.1,0.1,0.2,0.7,-0.5,0,0,0,,0,,2.1,0.5,0.3,33.333,0.2,0,5,0.5,0.2,1,0,50,3.5,22.727,0.4,0.2,1,12.1,4.8,0.4
Tim O'Brien,Hawthorn,26,26.76,Key Forward,16,5.731,55.375,40.562,0,0,0,0,82,5.125,2.125,7.25,75.862,71.951,85.294,70.69,1.75,0.25,146.375,20.19,1.188,6.105,2.188,3.314,3.562,3.875,7.438,47.899,1.438,1.688,0.25,0,0.375,0.375,2.875,0.812,0.5,0.312,0.25,0.812,0.688,0.125,9.188,13.388,2.125,23.129,0.312,14.706,1.688,0.812,0.125,0,2.062,18.182,12,0.75,0.188,1,0.312,75,2.812,17.928,0.312,0,2,9,2.125,1.562
Neville Jetta,Melbourne,30,30.88,Gen. Defender,6,4.7,34.667,20.833,0,0,0,0,69,2.333,3.833,6.167,81.081,78.571,82.609,37.838,0.667,0.667,55.5,9,1.833,3.364,1,6.167,4,2.333,6.333,63.158,3.667,3,0.167,0,0.167,0.167,1,0.333,0,0.5,0,0.833,1,-0.167,0,0,0,,0,,1.333,0,1.333,25,0,,0,0,0,0,0,,0.833,4.808,0.667,0,1.833,6.333,4.833,1.5
Michael Hibberd,Melbourne,30,30.99,Gen. Defender,14,5.3,70.357,57.571,4,0.286,1,0,81.5,9.643,5.643,15.286,74.299,72.593,77.215,63.084,1.571,2.929,296.143,19.374,2.071,7.379,3.071,4.977,4,10.357,14.357,27.861,4.643,2.929,0,0,0.286,0.286,4.429,0.429,0.071,0.786,0.071,0.929,0.429,0.5,0,0,0,,0,,1,0,1.643,13.043,0,,1,0.071,0,0.214,0.071,33.333,1.714,10.042,0.5,0,2.214,6.214,4.786,1.857
Mitch Brown,Melbourne,30,30.34,Key Forward,5,2.88,52.2,55.8,1,0.2,1,2,84.8,7.8,3.6,11.4,66.667,64.103,72.222,68.421,1.4,0.4,136,11.93,1.2,9.5,2.2,5.182,2.8,8.4,11.2,25,1,2,0.8,0,0.2,0.2,6,0.8,1.4,0.4,0.8,0,0.4,-0.4,2.4,3.822,0.6,25,0,0,1.2,1,0,,1.4,14.286,2,0.4,0.6,1.8,0,22.222,2.4,14.815,0,0,0.8,3.2,0.4,0.8
Angus Brayshaw,Melbourne,24,24.97,Midfielder,14,8.679,81,63.214,19,1.357,3,1,74.714,8.286,8.357,16.643,68.24,62.069,74.359,49.785,2.643,1.071,227.286,13.657,1.929,8.63,3,5.548,6.429,10.714,17.143,37.5,3.143,4.929,0.357,0.857,1.214,2.071,2.857,0.071,0.357,0.429,0,0.286,0.5,-0.214,0,0,0,,0,,2.929,0.071,0.071,0,0,,5,0.357,0.429,0.857,0.143,41.667,3.214,18.908,0.857,0,1.357,15.5,8.357,0.857
